X--Trace 6::[vvds=1; abs(I(PR1))],Y--Trace 6::[vvds=1; abs(I(PR1))],,X--Trace 7::[vvds=2; abs(I(PR1))],Y--Trace 7::[vvds=2; abs(I(PR1))],,X--Trace 8::[vvds=3; abs(I(PR1))],Y--Trace 8::[vvds=3; abs(I(PR1))],,X--Trace 9::[vvds=4; abs(I(PR1))],Y--Trace 9::[vvds=4; abs(I(PR1))],,X--Trace 10::[vvds=5; abs(I(PR1))],Y--Trace 10::[vvds=5; abs(I(PR1))]
0,8.16414E-12,,0,1.61435E-11,,0,2.41585E-11,,0,3.22018E-11,,0,3.96483E-11
0.1,8.16414E-12,,0.1,1.61577E-11,,0.1,2.41585E-11,,0.1,3.22018E-11,,0.1,3.98757E-11
0.2,8.16414E-12,,0.2,1.61577E-11,,0.2,2.41585E-11,,0.2,3.22302E-11,,0.2,3.99893E-11
0.3,8.17124E-12,,0.3,1.61862E-11,,0.3,2.41585E-11,,0.3,3.22018E-11,,0.3,4.02167E-11
0.4,8.16414E-12,,0.4,1.61862E-11,,0.4,2.41585E-11,,0.4,3.21734E-11,,0.4,4.02167E-11
0.5,8.16414E-12,,0.5,1.6172E-11,,0.5,2.41869E-11,,0.5,3.21734E-11,,0.5,4.01883E-11
0.6,8.16414E-12,,0.6,1.61577E-11,,0.6,2.41585E-11,,0.6,3.22302E-11,,0.6,4.02167E-11
0.7,8.16414E-12,,0.7,1.61577E-11,,0.7,2.413E-11,,0.7,3.21734E-11,,0.7,4.02167E-11
0.8,8.16414E-12,,0.8,1.61577E-11,,0.8,2.413E-11,,0.8,3.21734E-11,,0.8,4.01883E-11
0.9,8.16414E-12,,0.9,1.6172E-11,,0.9,2.41869E-11,,0.9,3.22018E-11,,0.9,4.01883E-11
1,8.16414E-12,,1,1.6172E-11,,1,2.41585E-11,,1,3.22018E-11,,1,4.02167E-11
1.1,8.16414E-12,,1.1,1.6172E-11,,1.1,2.41585E-11,,1.1,3.21734E-11,,1.1,4.01883E-11
1.2,8.16414E-12,,1.2,1.61577E-11,,1.2,2.41585E-11,,1.2,3.21734E-11,,1.2,4.01315E-11
1.3,8.16414E-12,,1.3,1.61862E-11,,1.3,2.41585E-11,,1.3,3.21734E-11,,1.3,4.02167E-11
1.4,8.17124E-12,,1.4,1.6172E-11,,1.4,2.41585E-11,,1.4,3.22018E-11,,1.4,4.01883E-11
1.5,8.16414E-12,,1.5,1.6172E-11,,1.5,2.41585E-11,,1.5,3.21734E-11,,1.5,4.01883E-11
1.6,8.15703E-12,,1.6,1.6172E-11,,1.6,2.41585E-11,,1.6,3.22018E-11,,1.6,4.01883E-11
1.7,8.16414E-12,,1.7,1.6172E-11,,1.7,2.41585E-11,,1.7,3.2145E-11,,1.7,4.01883E-11
1.8,8.17124E-12,,1.8,1.61577E-11,,1.8,2.41585E-11,,1.8,3.22018E-11,,1.8,4.01883E-11
1.9,8.17124E-12,,1.9,1.61577E-11,,1.9,2.41585E-11,,1.9,3.21734E-11,,1.9,4.01883E-11
2,8.16414E-12,,2,1.6172E-11,,2,2.41585E-11,,2,3.22018E-11,,2,4.01883E-11
2.1,0.000503813,,2.1,0.000503813,,2.1,0.000503813,,2.1,0.000503813,,2.1,0.000503813
2.2,0.002014848,,2.2,0.002014848,,2.2,0.002014848,,2.2,0.002014848,,2.2,0.002014848
2.3,0.004532495,,2.3,0.004532495,,2.3,0.004532495,,2.3,0.004532495,,2.3,0.004532495
2.4,0.008056146,,2.4,0.008056146,,2.4,0.008056146,,2.4,0.008056146,,2.4,0.008056146
2.5,0.012585194,,2.5,0.012585194,,2.5,0.012585194,,2.5,0.012585194,,2.5,0.012585194
2.6,0.018119034,,2.6,0.018119034,,2.6,0.018119034,,2.6,0.018119034,,2.6,0.018119034
2.7,0.024657057,,2.7,0.024657057,,2.7,0.024657057,,2.7,0.024657057,,2.7,0.024657057
2.8,0.03219866,,2.8,0.03219866,,2.8,0.03219866,,2.8,0.03219866,,2.8,0.03219866
2.9,0.040743236,,2.9,0.040743236,,2.9,0.040743236,,2.9,0.040743236,,2.9,0.040743236
3,0.050112589,,3,0.050290183,,3,0.050290183,,3,0.050290183,,3,0.050290183
3.1,0.059378561,,3.1,0.060838896,,3.1,0.060838896,,3.1,0.060838896,,3.1,0.060838896
3.2,0.068415427,,3.2,0.072388772,,3.2,0.072388772,,3.2,0.072388772,,3.2,0.072388772
3.3,0.077231934,,3.3,0.084939209,,3.3,0.084939209,,3.3,0.084939209,,3.3,0.084939209
3.4,0.085836424,,3.4,0.098489605,,3.4,0.098489605,,3.4,0.098489605,,3.4,0.098489605
3.5,0.0942368,,3.5,0.113039359,,3.5,0.113039359,,3.5,0.113039359,,3.5,0.113039359
3.6,0.102440564,,3.6,0.12858787,,3.6,0.12858787,,3.6,0.12858787,,3.6,0.12858787
3.7,0.110454839,,3.7,0.145134538,,3.7,0.145134538,,3.7,0.145134538,,3.7,0.145134538
3.8,0.118286394,,3.8,0.162678764,,3.8,0.162678764,,3.8,0.162678764,,3.8,0.162678764
3.9,0.125941667,,3.9,0.180565833,,3.9,0.181219949,,3.9,0.181219949,,3.9,0.181219949
4,0.133426788,,4,0.197990123,,4,0.200757495,,4,0.200757495,,4,0.200757495
4.1,0.140747594,,4.1,0.214968623,,4.1,0.221290803,,4.1,0.221290803,,4.1,0.221290803
4.2,0.147909647,,4.2,0.231519693,,4.2,0.242819278,,4.2,0.242819278,,4.2,0.242819278
4.3,0.154918255,,4.3,0.247660618,,4.3,0.265342322,,4.3,0.265342322,,4.3,0.265342322
4.4,0.161778482,,4.4,0.263407703,,4.4,0.288859341,,4.4,0.288859341,,4.4,0.288859341
4.5,0.168495164,,4.5,0.278776338,,4.5,0.313369737,,4.5,0.313369737,,4.5,0.313369737
4.6,0.175072923,,4.6,0.293781071,,4.6,0.338872806,,4.6,0.338872918,,4.6,0.338872918
4.7,0.181516176,,4.7,0.308435664,,4.7,0.364491212,,4.7,0.365368289,,4.7,0.365368289
4.8,0.187829152,,4.8,0.322753151,,4.8,0.389419472,,4.8,0.392855256,,4.8,0.392855256
4.9,0.194015896,,4.9,0.336745885,,4.9,0.413688315,,4.9,0.421333226,,4.9,0.421333226
5,0.200080283,,5,0.350425585,,5,0.437326659,,5,0.450801608,,5,0.450801608
5.1,0.206026027,,5.1,0.36380338,,5.1,0.460361571,,5.1,0.481259809,,5.1,0.481259809
5.2,0.211856688,,5.2,0.376889846,,5.2,0.482818454,,5.2,0.512707239,,5.2,0.512707239
5.3,0.217575681,,5.3,0.38969504,,5.3,0.504721183,,5.3,0.545143307,,5.3,0.545143307
5.4,0.223186282,,5.4,0.402228538,,5.4,0.52609222,,5.4,0.578199479,,5.4,0.578567424
5.5,0.228691639,,5.5,0.414499458,,5.5,0.54695273,,5.5,0.610467914,,5.5,0.612978998
5.6,0.234094773,,5.6,0.426516494,,5.6,0.567322675,,5.6,0.641849147,,5.6,0.648377443
5.7,0.239398589,,5.7,0.438287938,,5.7,0.587220904,,5.7,0.672384583,,5.7,0.68476217
5.8,0.244605881,,5.8,0.449821707,,5.8,0.606665236,,5.8,0.702112846,,5.8,0.722132591
5.9,0.249719333,,5.9,0.461125361,,5.9,0.625672532,,5.9,0.731069982,,5.9,0.760488119
6,0.25474153,,6,0.472206127,,6,0.644258764,,6,0.759289704,,6,0.799828168
6.1,0.259674962,,6.1,0.483070918,,6.1,0.662439075,,6.1,0.786803587,,6.1,0.839692748
6.2,0.264522023,,6.2,0.493726348,,6.2,0.680227835,,6.2,0.813641253,,6.2,0.878534507
6.3,0.269285023,,6.3,0.50417875,,6.3,0.697638693,,6.3,0.839830523,,6.3,0.916278513
6.4,0.273966186,,6.4,0.514434194,,6.4,0.714684628,,6.4,0.865397567,,6.4,0.95297855
6.5,0.278567659,,6.5,0.524498496,,6.5,0.731377983,,6.5,0.890367031,,6.5,0.988684531
6.6,0.283091509,,6.6,0.534377235,,6.6,0.747730515,,6.6,0.914762154,,6.6,1.023442852
6.7,0.287539734,,6.7,0.544075767,,6.7,0.763753425,,6.7,0.938604873,,6.7,1.057296736
6.8,0.291914261,,6.8,0.55359923,,6.8,0.779457397,,6.8,0.961915921,,6.8,1.090286521
6.9,0.296216949,,6.9,0.562952563,,6.9,0.794852626,,6.9,0.984714913,,6.9,1.122449914
7,0.300449596,,7,0.572140513,,7,0.809948846,,7,1.007020426,,7,1.153822221
7.1,0.304613939,,7.1,0.581167641,,7.1,0.824755362,,7.1,1.028850068,,7.1,1.184436546
7.2,0.308711655,,7.2,0.590038338,,7.2,0.83928107,,7.2,1.05022055,,7.2,1.214323974
7.3,0.312744367,,7.3,0.598756827,,7.3,0.853534482,,7.3,1.07114774,,7.3,1.243513736
7.4,0.316713644,,7.4,0.607327175,,7.4,0.867523749,,7.4,1.091646726,,7.4,1.272033352
7.5,0.320621003,,7.5,0.6157533,,7.5,0.881256679,,7.5,1.111731858,,7.5,1.299908767
7.6,0.324467914,,7.6,0.624038977,,7.6,0.894740755,,7.6,1.131416802,,7.6,1.327164467
7.7,0.328255799,,7.7,0.632187845,,7.7,0.907983155,,7.7,1.150714581,,7.7,1.353823589
7.8,0.331986033,,7.8,0.640203412,,7.8,0.920990769,,7.8,1.169637613,,7.8,1.379908019
7.9,0.335659951,,7.9,0.648089064,,7.9,0.933770208,,7.9,1.18819775,,7.9,1.405438483
8,0.339278844,,8,0.655848069,,8,0.946327826,,8,1.206406309,,8,1.430434624
8.1,0.342843963,,8.1,0.663483581,,8.1,0.958669729,,8.1,1.224274107,,8.1,1.454915082
8.2,0.346356523,,8.2,0.670998646,,8.2,0.970801788,,8.2,1.241811488,,8.2,1.478897556
8.3,0.349817699,,8.3,0.678396208,,8.3,0.982729649,,8.3,1.259028351,,8.3,1.502398873
8.4,0.353228633,,8.4,0.685679113,,8.4,0.99445875,,8.4,1.275934174,,8.4,1.525435039
8.5,0.356590432,,8.5,0.692850109,,8.5,1.005994325,,8.5,1.292538038,,8.5,1.548021295
8.6,0.359904169,,8.6,0.699911857,,8.6,1.017341415,,8.6,1.30884865,,8.6,1.570172164
8.7,0.363170886,,8.7,0.706866931,,8.7,1.028504879,,8.7,1.324874359,,8.7,1.591901496
8.8,0.366391596,,8.8,0.713717821,,8.8,1.039489403,,8.8,1.34062318,,8.8,1.613222509
8.9,0.369567281,,8.9,0.720466938,,8.9,1.050299505,,8.9,1.35610281,,8.9,1.634147827
9,0.372698896,,9,0.727116615,,9,1.060939546,,9,1.371320644,,9,1.654689515
9.1,0.375787367,,9.1,0.733669115,,9.1,1.071413733,,9.1,1.386283788,,9.1,1.674859111
9.2,0.378833595,,9.2,0.740126627,,9.2,1.081726131,,9.2,1.400999079,,9.2,1.694667659
9.3,0.381838456,,9.3,0.746491276,,9.3,1.091880665,,9.3,1.415473095,,9.3,1.714125731
9.4,0.384802801,,9.4,0.752765119,,9.4,1.101881129,,9.4,1.429712166,,9.4,1.733243462
9.5,0.387727457,,9.5,0.758950154,,9.5,1.11173119,,9.5,1.443722393,,9.5,1.752030564
9.6,0.39061323,,9.6,0.765048315,,9.6,1.121434395,,9.6,1.457509649,,9.6,1.770496357
9.7,0.393460901,,9.7,0.771061482,,9.7,1.130994174,,9.7,1.471079598,,9.7,1.788649787
9.8,0.396271232,,9.8,0.776991478,,9.8,1.140413847,,9.8,1.484437704,,9.8,1.806499445
9.9,0.399044966,,9.9,0.782840073,,9.9,1.149696626,,9.9,1.497589233,,9.9,1.824053586
10,0.401782822,,10,0.788608984,,10,1.158845623,,10,1.510539273,,10,1.841320145
